<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si-12.16;60;20161124;000000;64.792.0000000;64.800.0000000;64.746.0000000;64.768.0000000;24.141
SPFB.Si-12.16;60;20161124;110000;64.759.0000000;65.114.0000000;64.700.0000000;64.903.0000000;431.400
SPFB.Si-12.16;60;20161124;120000;64.902.0000000;64.975.0000000;64.790.0000000;64.822.0000000;227.076
SPFB.Si-12.16;60;20161124;130000;64.820.0000000;64.852.0000000;64.580.0000000;64.641.0000000;293.311
SPFB.Si-12.16;60;20161124;140000;64.641.0000000;64.755.0000000;64.605.0000000;64.686.0000000;185.775
SPFB.Si-12.16;60;20161124;150000;64.686.0000000;64.727.0000000;64.592.0000000;64.687.0000000;200.989
SPFB.Si-12.16;60;20161124;160000;64.684.0000000;64.833.0000000;64.630.0000000;64.813.0000000;157.782
SPFB.Si-12.16;60;20161124;170000;64.812.0000000;64.934.0000000;64.661.0000000;64.749.0000000;208.550
SPFB.Si-12.16;60;20161124;180000;64.749.0000000;64.792.0000000;64.648.0000000;64.688.0000000;131.679
SPFB.Si-12.16;60;20161124;190000;64.685.0000000;64.748.0000000;64.668.0000000;64.695.0000000;59.346
SPFB.Si-12.16;60;20161124;200000;64.692.0000000;64.817.0000000;64.667.0000000;64.803.0000000;65.496
SPFB.Si-12.16;60;20161124;210000;64.803.0000000;64.811.0000000;64.725.0000000;64.728.0000000;21.601
SPFB.Si-12.16;60;20161124;220000;64.725.0000000;64.774.0000000;64.712.0000000;64.751.0000000;20.695
SPFB.Si-12.16;60;20161124;230000;64.751.0000000;64.780.0000000;64.744.0000000;64.774.0000000;10.585
SPFB.Si-12.16;60;20161125;000000;64.775.0000000;64.808.0000000;64.770.0000000;64.808.0000000;17.675
SPFB.Si-12.16;60;20161125;110000;64.809.0000000;65.134.0000000;64.739.0000000;64.773.0000000;547.969
SPFB.Si-12.16;60;20161125;120000;64.773.0000000;64.802.0000000;64.560.0000000;64.743.0000000;343.632
SPFB.Si-12.16;60;20161125;130000;64.743.0000000;64.840.0000000;64.660.0000000;64.701.0000000;280.173
